Наименование федерального округа;Наименования субъекта РФ ;Население старше трудоспособного возраста на 2022 год;Суммарный коэффициент рождаемости (число детей на 1 женщину) на 2022 год;Ожидаемая продолжительность жизни при рождении на 2022 год
Центральный федеральный округ;Белгородская область;26,9;1,169;73,03
Центральный федеральный округ;Брянская область;56,8;1,196;71,22
Центральный федеральный округ;Владимирская область;28,3;1,156;70,8
Центральный федеральный округ;Воронежская область;27,6;1,232;72,45
Центральный федеральный округ;Ивановская область;28,3;1,367;70,57
Центральный федеральный округ;Калужская область;26,2;1,336;72,48
Центральный федеральный округ;Костромская область;28,7;1,523;69,9
Центральный федеральный округ;Курская область;27,8;1,29;71,54
Центральный федеральный округ;Липецкая область;27,1;1,203;72,12
Центральный федеральный округ;Московская область;22,8;1,329;73,78
Центральный федеральный округ;Орловская область;28,3;1,212;70,73
Центральный федеральный округ;Рязанская область;28,8;1,142;72,14
Центральный федеральный округ;Смоленская область;28,1;1,08;70,35
Центральный федеральный округ;Тамбовская область;30,1;1,223;72,01
Центральный федеральный округ;Тверская область;28,4;1,296;69,94
Центральный федеральный округ;Тульская область;29,4;1,145;71,86
Центральный федеральный округ;Ярославская область;27;1,311;71,55
Центральный федеральный округ;г. Москва;26,9;1,419;78,17
Северо-Западный федеральный округ;Республика Карелия;28;1,505;69,03
Северо-Западный федеральный округ;Республика Коми;23,7;1,544;69,94
Северо-Западный федеральный округ;Архангельская область;26,6;1,493;70,93
Северо-Западный федеральный округ;Архангельсая область (без АО);27;1,837;70,74
Северо-Западный федеральный округ;Ненецкий автономный округ;18,8;1,476;70,93
Северо-Западный федеральный округ;Вологодская область;25,7;1,413;71,56
Северо-Западный федеральный округ;Калининградская область;24,2;1,257;73,07
Северо-Западный федеральный округ;Ленинградская область;25,5;0,871;73,33
Северо-Западный федеральный округ;Мурманская область;21,5;1,47;70,16
Северо-Западный федеральный округ;Новгородская область;27,8;1,316;70,45
Северо-Западный федеральный округ;Псковская область;28,7;1,332;68,95
Северо-Западный федеральный округ; г. Санкт-Петербург;25,5;1,278;75,77
Южный федеральный округ;Республика Адыгея;23,2;1,31;73,6
Южный федеральный округ;Республика Калмыкия;22,3;1,432;73,49
Южный федеральный округ;Республика Крым;25,9;1,436;71,97
Южный федеральный округ;Краснодарский край;24,6;1,521;72,92
Южный федеральный округ;Астраханская область;22,5;1,627;71,8
Южный федеральный округ;Волгоградская область;25,8;1,139;73,24
Южный федеральный округ;Ростовская область;25,7;1,249;72
Южный федеральный округ;Город федерального значения Севастополь;23,2;1,017;74,57
Северо-Кавказский федеральный округ;Республика Дагестан;14;1,734;78,22
Северо-Кавказский федеральный округ;Республика Ингушетия;9,7;1,827;78,34
Северо-Кавказский федеральный округ;Кабардино-Балкарская Республика;19,1;1,515;75,51
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;20,7;1,3;75,32
Северо-Кавказский федеральный округ;Республика Северная Осетия-Алания;22,3;1,587;74,7
Северо-Кавказский федеральный округ;Чеченская Республика;10,4;2,744;74,61
Северо-Кавказский федеральный округ;Ставропольский край;23,2;1,289;74,29
Приволжский федеральный округ;Республика Башкортостан;23,8;1,406;72,98
Приволжский федеральный округ;Республика Марий Эл;25,4;1,409;71,9
Приволжский федеральный округ;Республика Мордовия;28,7;1,031;73,16
Приволжский федеральный округ;Республика Татарстан;24,1;1,429;74,92
Приволжский федеральный округ;Удмуртская Республика;24,4;1,434;72,13
Приволжский федеральный округ;Чувашская Республика;25,1;1,423;72,49
Приволжский федеральный округ;Пермский край;24,2;1,541;70,9
Приволжский федеральный округ;Кировская область;29,6;1,5;71,31
Приволжский федеральный округ;Нижегородская область;27;1,313;71,49
Приволжский федеральный округ;Оренбургская область;25,1;1,464;71,24
Приволжский федеральный округ;Пензенская область;28,7;1,186;72,07
Приволжский федеральный округ;Самарская область;26,2;1,33;72,14
Приволжский федеральный округ;Саратовская область;26,9;1,106;72,85
Приволжский федеральный округ;Ульяновская область;28,3;1,318;71,34
Уральский федеральный округ;Курганская область;28,9;1,684;69,88
Уральский федеральный округ;Свердловская область;24,3;1,557;71,31
Уральский федеральный округ;Тюменская область;18,6;1,723;74,59
Уральский федеральный округ;Тюменская область (без АО);22,6;1,72;73,59
Уральский федеральный округ;Ханты-Мансийский автономный округ - Югра;16,5;1,669;75,41
Уральский федеральный округ; Ямало-Ненецкий автономный округ;13;1,916;74,82
Уральский федеральный округ;Челябинская область;24,5;1,468;72,16
Сибирский федеральный округ;Республика Алтай;17,9;2,07;68,47
Сибирский федеральный округ;Республика Бурятия;19,5;1,684;69,35
Сибирский федеральный округ;Республика Тыва;10,7;2,51;67,11
Сибирский федеральный округ;Республика Хакасия;22,6;1,541;70,57
Сибирский федеральный округ;Алтайский край;25,9;1,345;68,47
Сибирский федеральный округ;Забайкальский край;19,6;1,69;67,75
Сибирский федеральный округ;Красноярский край;22,3;1,434;70,58
Сибирский федеральный округ;Иркутская область;22,1;1,694;69,31
Сибирский федеральный округ;Кемеровская область;24,6;1,264;69,64
Сибирский федеральный округ;Новосибирская область;24,1;1,486;71,49
Сибирский федеральный округ;Омская область;25,1;1,525;71,45
Сибирский федеральный округ;Томская область;23,1;1,244;72,33
Дальневосточный федеральный округ;Республика Саха (Якутия);15,8;1,618;72,67
Дальневосточный федеральный округ;Камчатский край;19,9;1,626;68,77
Дальневосточный федеральный округ;Приморский край;23,7;1,427;69,71
Дальневосточный федеральный округ;Хабаровский край;22,3;1,498;69,96
Дальневосточный федеральный округ;Амурская область;21,5;1,462;68,17
Дальневосточный федеральный округ;Магаданская область;19,8;1,426;68,45
Дальневосточный федеральный округ;Сахалинская область;23,5;1,807;70,37
Дальневосточный федеральный округ;Еврейская автономная область;22,3;1,62;67,7
Дальневосточный федеральный округ;Чукотский автономный округ;13,6;1,655;66,2
Дальневосточный федеральный округ;Амурская область;21,5;1,462;68,17
Дальневосточный федеральный округ;Магаданская область;19,8;1,426;68,45
Дальневосточный федеральный округ;Сахалинская область;23,5;1,807;70,37
Дальневосточный федеральный округ;Еврейская автономная область;22,3;1,62;67,7
Дальневосточный федеральный округ;Чукотский автономный округ;13,6;1,655;66,2
